522,牢,láo
523,仂,lè
524,泪,lèi
525,愣,lèng
526,雷,léi
527,塄,léng
528,力,lì
529,吝,lìn
530,另,lìng
531,厘,lí
532,邻,lín
533,伶,líng
534,陋,lòu
535,龙,lóng
536,娄,lóu
537,陆,lù
538,论,lùn
539,卢,lú
540,仑,lún
541,掠,lüè
542,垃,lā
543,啷,lāng
544,捞,lāo
545,肋,lē
546,勒,lēi
547,耒,lěi
548,冷,lěng
549,哩,lī
550,拎,līn
551,䁖,lōu
552,撸,lū
553,抡,lūn
554,喇,lǎ
555,览,lǎn
556,朗,lǎng
557,老,lǎo
558,礼,lǐ
559,凛,lǐn
560,岭,lǐng
561,陇,lǒng
562,嵝,lǒu
563,卤,lǔ
564,驴,lǘ
565,吕,lǚ
566,律,lǜ
567,吗,ma
568,么,me
569,们,men
570,靣,miàn
571,妙,miào
572,眠,mián
573,苗,miáo
574,灭,miè
575,谬,miù
576,喵,miāo
577,乜,miē
578,沔,miǎn
579,杪,miǎo
580,麿,mo
581,犸,mà
582,劢,mài
583,曼,màn
584,芼,mào
585,麻,má
586,埋,mái
587,蛮,mán
588,邙,máng
589,毛,máo
590,妹,mèi
591,闷,mèn
592,孟,mèng
593,没,méi
594,门,mén
595,虻,méng
596,汨,mì
597,命,mìng
598,罙,mí
599,民,mín
600,名,míng
601,末,mò
602,谟,mó
603,牟,móu
604,木,mù
605,妈,mā
606,颟,mān
607,猫,māo
608,每,měi
609,勐,měng
610,咪,mī
611,摸,mō
612,哞,mōu
613,马,mǎ
614,买,mǎi
615,满,mǎn
616,莽,mǎng
617,卯,mǎo
618,米,mǐ
619,皿,mǐn
620,酩,mǐng
621,抹,mǒ
622,某,mǒu
623,母,mǔ
624,脳,nao
625,呢,ne
626,廿,niàn
627,酿,niàng
628,尿,niào
629,年,nián
630,娘,niáng
631,陧,niè
632,苶,nié
633,衂,niù
634,牛,niú
635,拈,niān
636,捏,niē
637,妞,niū
638,捻,niǎn
639,鸟,niǎo
640,狃,niǔ
641,诺,nuò
642,挪,nuó
643,暖,nuǎn
644,那,nà
645,奈,nài
646,闹,nào
647,拿,ná
648,男,nán
649,囊,náng
650,呶,náo
651,讷,nè
652,内,nèi
653,恁,nèn
654,能,néng
655,伲,nì
656,佞,nìng
657,尼,ní
658,您,nín
659,宁,níng
660,弄,nòng
661,耨,nòu
662,农,nóng
663,羺,nóu
664,怒,nù
665,奴,nú
666,疟,nüè
667,囡,nān
668,囔,nāng
669,孬,nāo
670,馁,něi
671,妮,nī
672,哪,nǎ
673,乃,nǎi
674,赧,nǎn
675,曩,nǎng
676,垴,nǎo
677,拟,nǐ
678,矃,nǐng
679,努,nǔ
680,女,nǚ
681,恧,nǜ
682,筽,o
683,萢,pao
684,魸,pian
685,片,piàn
686,票,piào
687,骈,pián
688,嫖,piáo
689,偏,piān
690,剽,piāo
691,氕,piē
692,苤,piě
693,谝,piǎn
694,殍,piǎo
695,贌,pu
696,帕,pà
697,哌,pài
698,判,pàn
699,胖,pàng
700,泡,pào
701,杷,pá
702,俳,pái
703,盘,pán
704,庞,páng
