0,bai,薭
0,ban,螁
0,bao,藵
78,jiù,旧,old
78,jiā,加,add to
78,jiān,戋,small
78,jiāng,江,yangzi
78,jiāo,艽
79,jiē,阶,rank
79,jiě,姐,young lady
79,jiōng,絅,dust coat
79,jiū,纠,inspect
79,jiǎ,甲,armor
80,jiǎn,囝,baby
80,jiǎng,讲,talk
80,jiǎo,角,horn
80,jiǒng,炅,brilliance
80,jiǔ,九,nine
81,juàn,狷,rash
81,jué,孓,beautiful
81,juān,涓,brook
81,juē,噘,pouting
81,juǎn,卷,curl
82,jì,计,plan
82,jìn,妗
82,jìng,迳,pass by
82,jí,及,and
82,jù,巨,large
83,jùn,俊,talented
83,jú,局,bureau
83,jī,讥,jeer
83,jīn,巾,towel
83,jīng,茎,stem
84,jū,苴,sackcloth
84,jūn,军,army
84,jǐ,几,small table
84,jǐn,仅,only
84,jǐng,井,well
85,jǔ,咀,suck
85,kong,躻
85,kuà,挎,carry
85,kuài,块,piece
85,kuàng,邝,surname
86,kuáng,狂,mad
86,kuì,匮,to lack
86,kuí,隗,high
86,kuò,扩,expand
86,kuā,夸,handsome
87,kuān,宽,broad
87,kuāng,匡,correct
87,kuī,亏,lose
87,kuǎ,垮,fail
87,kuǎi,蒯,a rush
88,kuǎn,款,item
88,kuǎng,夼
88,kuǐ,頍
88,kài,忾,anger
88,kàn,看,look
89,kàng,亢,high
89,kào,铐,shackles
89,káng,扛,lift
89,kè,克,gram
89,ké,壳,husk
90,kòng,控,accuse
90,kòu,叩,ask
90,kù,库,armory
90,kùn,困,beseige
90,kā,咖,coffee
91,kāi,开,open
91,kān,刊,publish
91,kāng,闶,door
91,kāo,尻,sacrum
91,kē,苛,small
92,kēng,吭,throat
92,kě,可,may
92,kěn,肻
92,kōng,空,empty
92,kōu,芤
93,kū,郀
93,kūn,坤,earth
93,kǎ,卡,card
93,kǎi,剀,sharpen
93,kǎn,坎,pit
94,kǎo,考,test
94,kǒng,孔,hole
94,kǒu,口,mouth
94,kǔ,苦,bitter
94,kǔn,悃,loyal
95,la,鞡,leg warmer
95,lao,蛯,shrimp
95,le,了,to finish
95,liàn,练,drill
95,liàng,亮,bright
96,liào,尥
96,lián,奁
96,liáng,良,good
96,liáo,辽,far
96,liè,劣,bad
97,liù,六,number six
97,liú,刘,kill
97,liāo,撩,raise
97,liě,咧,grin
97,liū,溜,slide
98,liǎ,俩,two
98,liǎn,敛,collect
98,liǎng,两,two
98,liǎo,钌,ruthenium
98,liǔ,柳,pleasure
99,lu,鈩,oven
99,luàn,乱,revolt
99,luán,娈,lovely
99,luò,荦,brindled ox
99,luó,脶,lines
100,luō,罗,gauze
100,luǎn,卵,egg
100,luǒ,倮,bare
100,là,腊,dried meat
100,lài,赉,give
101,làn,烂,rotten
101,làng,莨,herb
101,lào,涝,flood
101,lá,旯,nook
101,lái,来,come
102,lán,兰,orchid
102,láng,郎,husband
102,láo,牢,pen
102,lè,仂,remainder
102,lèi,泪,cry
103,lèng,愣,be in a daze
103,léi,雷,thunder
103,léng,棱,edge
103,lì,力,power
103,lìn,吝,stingy
104,lìng,另,other
104,lí,狸,fox
104,lín,邻,neighbor
104,líng,伶,lonely
104,lòu,陋,ugly
105,lóng,龙,dragon
105,lóu,娄,surname
105,lù,陆,land
105,lùn,论,debate
105,lú,卢,hut
106,lún,囵,all
106,lüè,掠,rob
106,lā,垃,waste
106,lāo,捞,fish
106,lē,肋,ribs
107,lēi,勒,strangle
107,lěi,耒,plow
107,lěng,冷,cold
107,lī,哩,mile
107,līn,拎,to haul
108,lōu,䁖,to see
108,lū,撸
108,lūn,抡,swing
108,lǎ,喇,horn
108,lǎn,览,look at
109,lǎng,朗,clear
109,lǎo,老,old
109,lǐ,礼,manners
109,lǐn,廪,granary
109,lǐng,袊
110,lǒng,垅,mound
110,lǒu,搂,hug
110,lǔ,卤,salt
110,lǘ,驴,ass
110,lǚ,吕,surname
111,lǜ,律,statute
111,me,么,tender
111,miàn,靣
111,miào,妙,subtle
111,mián,眠,sleep
112,miáo,苗,sprouts
112,miè,灭,wipe out
112,miù,谬,error
112,miē,乜,to squint
112,miǎn,沔,flood
113,miǎo,杪,twig
113,mo,麿,I
113,mà,犸,mammoth
113,mài,迈,pass by
113,màn,曼,long
114,mào,芼,greens
114,má,麻,hemp
114,mái,埋,bury
114,mán,蛮,savage
114,máng,忙,busy
115,máo,毛,hair
115,mèi,祙,demon
115,mèn,闷,gloomy
115,mèng,孟,great
115,méi,没,not
116,mén,门,gate
116,méng,虻,gadfly
116,mì,汨,to sink
116,mìng,命,life
116,mí,罙,deep
117,mín,民,people
117,míng,名,name
117,mò,末,end
117,mó,谟,plan
117,móu,牟,make
118,mù,木,tree
118,mā,妈,mama
118,mān,颟,dawdling
118,māo,猫,cat
118,měi,每,every
119,měng,猛,bold
119,mī,咪
119,mō,摸,caress
119,mōu,哞,moo
119,mǎ,马,horse
120,mǎi,买,buy
120,mǎn,满,fill
120,mǎng,莽,thicket
120,mǎo,泖,still waters
120,mǐ,芈,surname
121,mǐn,闵,mourn
121,mǐng,酩,drunk
121,mǒ,抹,smear
121,mǔ,母,mother
121,nao,脳,brain
122,niàn,廿,twenty
122,niàng,酿,brew
122,niào,尿,urine
122,nián,年
122,niáng,娘,wife
123,niè,陧,in disorder
123,nié,苶,weary
123,niú,牛,cow
123,niān,拈,draw lots
123,niē,捏,mold
124,niū,妞,girl
124,niǎn,跈
124,niǎo,鸟,bird
124,niǔ,狃,to covet
124,nuò,诺,promise
125,nuó,挪,move
125,nuǎn,暖,warm
125,nà,那,that
125,nài,奈,but
125,nào,闹,quarrel
126,ná,拿,take
126,nán,男,male
126,náng,囊,bag
126,náo,呶,hubbub
126,nè,讷,mumble
127,nèi,内,inside
127,nèn,恁,so
127,néng,能,can
127,nì,昵,close
127,nìng,佞,glib
128,ní,尼,Buddhist nun
128,nín,您
128,níng,宁,calm
128,nòng,弄,do
128,nòu,耨,hoe
129,nóng,农,farmer
129,nóu,羺
129,nù,怒,anger
129,nú,奴,slave
129,nüè,疟,malaria
130,nān,囡
130,nāng,囔,muttering
130,nāo,孬,bad
130,něi,馁,hungry
130,nī,妮,maid
131,nǎi,乃,then
131,nǎn,赧,blush
131,nǎng,曩,of old
131,nǎo,垴,small
131,nǐ,拟,draft
132,nǐng,矃
132,nǔ,努,strive
132,nǚ,女,woman
132,nǜ,恧
132,o,筽
133,pao,萢
133,pian,魸
133,piàn,片,slice
133,piào,票,ticket
133,pián,骈,join
134,piáo,嫖,frequent
134,piān,偏,slanting
134,piāo,剽,rob
134,piē,氕,protium
134,piě,苤,kohl rabi
135,piǎn,谝,brag
135,piǎo,瞟,squint
135,pu,贌
135,pà,帕,veil
135,pài,派,sect
136,pàn,判,judge
136,pàng,胖,fat
136,pào,泡,suds
136,pá,杷,loquat
136,pái,俳,actor
137,pán,盘,tray
137,páng,庞,big
137,páo,刨
137,pèi,沛,full
137,pèng,碰,collide
138,péi,陪,be with
138,pén,盆,tub
138,péng,朋,pal
138,pì,屁,fart
138,pìn,牝,deep gorge
139,pí,皮,skin
139,pín,贫,poor
139,píng,平,flat
139,pò,迫,coerce
139,pó,婆,old woman
